detail_id,domain_id,dataset_code,dimension_key
sci.patent_applications,SCI,pat_ep_ntot,unit=NR
sci.rd_expenditure_gdp,SCI,rd_e_gerdtot,sectperf=TOTAL&unit=PC_GDP
sci.rd_expenditure_total,SCI,rd_e_gerdtot,sectperf=TOTAL&unit=MIO_EUR
sci.researchers_count,SCI,rd_p_persocc,prof_pos=TOTAL&sectperf=TOTAL&sex=T&unit=FTE
soc.childcare_coverage_0_3,SOC,ilc_caindother,age=Y_LT3&unit=PC
soc.gini_coefficient,SOC,ilc_di12,age=TOTAL&statinfo=GINI_HND
soc.household_income_avg,SOC,ilc_di03,unit=EUR
soc.minimum_wage,SOC,earn_mw_cur,currency=EUR
soc.poverty_rate,SOC,ilc_li02,age=TOTAL&sex=T&unit=PC
soc.severe_material_deprivation,SOC,ilc_mddd11,age=TOTAL&sex=T&unit=PC
trd.exports_by_country,TRD,ext_lt_intratrd,indic_et=MIO_EXP_VAL&partner=EXT_EU27_2020&sitc06=TOTAL
trd.exports_goods_total,TRD,ext_lt_intratrd,indic_et=MIO_EXP_VAL&partner=WORLD&sitc06=TOTAL
trd.imports_by_country,TRD,ext_lt_intratrd,indic_et=MIO_IMP_VAL&partner=EXT_EU27_2020&sitc06=TOTAL
trd.imports_goods_total,TRD,ext_lt_intratrd,indic_et=MIO_IMP_VAL&partner=WORLD&sitc06=TOTAL
trd.trade_balance_goods,TRD,ext_lt_intratrd,indic_et=MIO_BAL_VAL&partner=WORLD&sitc06=TOTAL
trp.freight_rail_volume,TRP,rail_go_quartal,unit=MIO_TKM
trp.freight_road_volume,TRP,road_go_ta_tott,unit=MIO_TKM
trp.passenger_rail_volume,TRP,rail_pa_quartal,unit=MIO_PKM
