detail_id,domain_id,detail_name,detail_unit,detail_frequency,domain_name,domain_group,default_agg
fin.exchange_rate_gbp_pln,FIN,GBP/PLN Exchange Rate,PLN,daily,Financial Markets,Economy,AVG
fin.exchange_rate_usd_pln,FIN,USD/PLN Exchange Rate,PLN,daily,Financial Markets,Economy,AVG
fin.reference_rate,FIN,NBP Reference Rate,%,irregular,Financial Markets,Economy,AVG
fin.stock_price,FIN,Stock Price (GPW),PLN,daily,Financial Markets,Economy,AVG
fin.stock_volume,FIN,Stock Trading Volume (GPW),shares,daily,Financial Markets,Economy,SUM
fin.tge_electricity_price,FIN,TGE Day-Ahead Electricity Price,PLN/MWh,daily,Financial Markets,Economy,AVG
fin.wibor_1m,FIN,WIBOR 1M,%,daily,Financial Markets,Economy,AVG
fin.wibor_3m,FIN,WIBOR 3M,%,daily,Financial Markets,Economy,AVG
fin.wibor_6m,FIN,WIBOR 6M,%,daily,Financial Markets,Economy,AVG
fin.wig20_index,FIN,WIG20 Index,index,daily,Financial Markets,Economy,AVG
fin.wig_index,FIN,WIG Total Return Index,index,daily,Financial Markets,Economy,AVG
hlt.cancer_incidence,HLT,Cancer Incidence Rate,per 100k,annual,Health,Society,AVG
hlt.cardiovascular_mortality,HLT,Cardiovascular Disease Mortality Rate,per 100k,annual,Health,Society,AVG
hlt.hospital_bed_density,HLT,Hospital Bed Density,per 1000 pop,annual,Health,Society,AVG
hlt.infant_mortality_rate,HLT,Infant Mortality Rate,per 1000 births,annual,Health,Society,AVG
hlt.life_expectancy_f,HLT,Female Life Expectancy at Birth (Health),years,annual,Health,Society,AVG
hlt.life_expectancy_m,HLT,Male Life Expectancy at Birth (Health),years,annual,Health,Society,AVG
hlt.mental_health_hospitalisations,HLT,Mental Health Hospital Admissions,count,annual,Health,Society,SUM
hlt.nfz_expenditure,HLT,NFZ Total Expenditure,PLN mn,annual,Health,Society,SUM
hlt.obesity_rate,HLT,Adult Obesity Prevalence,%,annual,Health,Society,AVG
hlt.physician_density,HLT,Physicians per 1000 Population,per 1000 pop,annual,Health,Society,AVG
hlt.smoking_rate,HLT,Adult Smoking Prevalence,%,annual,Health,Society,AVG
hlt.vaccination_coverage_childhood,HLT,Childhood Vaccination Coverage (MMR),%,annual,Health,Society,AVG
hlt.waiting_time_specialist,HLT,Average Waiting Time for Specialist Care,days,quarterly,Health,Society,AVG
lab.activity_rate,LAB,Labour Force Participation Rate (LFS),%,quarterly,Labour Market,Economy,AVG
lab.average_wage,LAB,Average Gross Monthly Wage,PLN,monthly,Labour Market,Economy,AVG
lab.average_wage_sectoral,LAB,Average Gross Wage by Sector,PLN,monthly,Labour Market,Economy,AVG
lab.employed_total,LAB,Total Employed (LFS),persons,quarterly,Labour Market,Economy,AVG
lab.employment_rate,LAB,Employment Rate 15-64 (LFS),%,quarterly,Labour Market,Economy,AVG
lab.job_vacancies,LAB,Job Vacancies,count,quarterly,Labour Market,Economy,AVG
lab.long_term_unemployment_share,LAB,Long-Term Unemployment Share,%,quarterly,Labour Market,Economy,AVG
lab.minimum_wage,LAB,Statutory Minimum Wage,PLN,annual,Labour Market,Economy,AVG
lab.real_wage_growth,LAB,Real Wage Growth,%,monthly,Labour Market,Economy,AVG
lab.unemployment_count,LAB,Registered Unemployed,persons,monthly,Labour Market,Economy,AVG
lab.unemployment_rate,LAB,Registered Unemployment Rate,%,monthly,Labour Market,Economy,AVG
lab.unemployment_rate_regional,LAB,Registered Unemployment Rate (Regional),%,monthly,Labour Market,Economy,AVG
lab.vacancy_rate,LAB,Job Vacancy Rate,%,quarterly,Labour Market,Economy,AVG
lab.wage_growth,LAB,Nominal Wage Growth,%,monthly,Labour Market,Economy,AVG
lab.youth_unemployment_rate,LAB,Youth Unemployment Rate (15-24),%,quarterly,Labour Market,Economy,AVG
mac.business_confidence_bcs,MAC,Business Confidence Index (EC BCS),index,monthly,National Accounts & Macroeconomics,Economy,AVG
mac.consumer_confidence,MAC,Consumer Confidence Index,index,monthly,National Accounts & Macroeconomics,Economy,AVG
mac.current_account_balance,MAC,Current Account Balance,EUR mn,monthly,National Accounts & Macroeconomics,Economy,SUM
mac.current_account_gdp,MAC,Current Account Balance as % of GDP,%,quarterly,National Accounts & Macroeconomics,Economy,AVG
mac.gdp_nominal,MAC,Nominal GDP,PLN mn,quarterly,National Accounts & Macroeconomics,Economy,SUM
mac.gdp_per_capita,MAC,GDP Per Capita,PLN,annual,National Accounts & Macroeconomics,Economy,AVG
mac.gdp_per_capita_regional,MAC,Regional GDP Per Capita,PLN,annual,National Accounts & Macroeconomics,Economy,AVG
mac.gdp_real_growth,MAC,Real GDP Growth Rate,%,quarterly,National Accounts & Macroeconomics,Economy,AVG
mac.gross_fixed_capital_formation_growth,MAC,Gross Fixed Capital Formation Growth,%,quarterly,National Accounts & Macroeconomics,Economy,AVG
mac.household_consumption_growth,MAC,Household Consumption Growth,%,quarterly,National Accounts & Macroeconomics,Economy,AVG
mac.industrial_output_growth,MAC,Industrial Output Growth,%,monthly,National Accounts & Macroeconomics,Economy,AVG
mac.pmi_manufacturing,MAC,Manufacturing PMI,index,monthly,National Accounts & Macroeconomics,Economy,AVG
mac.retail_sales_growth,MAC,Retail Sales Volume Growth,%,monthly,National Accounts & Macroeconomics,Economy,AVG
pop.births,POP,Live Births,count,monthly,Population & Demographics,Society,SUM
pop.deaths,POP,Deaths,count,monthly,Population & Demographics,Society,SUM
pop.fertility_rate,POP,Total Fertility Rate,ratio,annual,Population & Demographics,Society,AVG
pop.life_expectancy_f,POP,Female Life Expectancy at Birth,years,annual,Population & Demographics,Society,AVG
pop.life_expectancy_m,POP,Male Life Expectancy at Birth,years,annual,Population & Demographics,Society,AVG
pop.median_age,POP,Median Age of Population,years,annual,Population & Demographics,Society,AVG
pop.natural_increase,POP,Natural Population Increase,count,monthly,Population & Demographics,Society,SUM
pop.net_migration,POP,Net International Migration,persons,annual,Population & Demographics,Society,SUM
pop.old_age_dependency_ratio,POP,Old-Age Dependency Ratio,%,annual,Population & Demographics,Society,AVG
pop.population_regional,POP,Population by Voivodeship,persons,annual,Population & Demographics,Society,AVG
pop.population_total,POP,Total Population,persons,annual,Population & Demographics,Society,AVG
pop.urbanisation_rate,POP,Urban Population Share,%,annual,Population & Demographics,Society,AVG
prc.cpi_core,PRC,Core Inflation (excl. food & energy),%,monthly,Prices & Inflation,Economy,AVG
prc.cpi_energy,PRC,CPI Energy,%,monthly,Prices & Inflation,Economy,AVG
prc.cpi_food,PRC,CPI Food & Non-Alcoholic Beverages,%,monthly,Prices & Inflation,Economy,AVG
prc.cpi_total,PRC,CPI Headline Inflation,%,monthly,Prices & Inflation,Economy,AVG
prc.electricity_retail_price,PRC,Retail Electricity Price (Households),PLN/kWh,quarterly,Prices & Inflation,Economy,AVG
prc.fuel_price_diesel,PRC,Retail Diesel Price (ON),PLN/L,weekly,Prices & Inflation,Economy,AVG
prc.fuel_price_petrol,PRC,Retail Petrol Price (Pb95),PLN/L,weekly,Prices & Inflation,Economy,AVG
prc.gas_retail_price,PRC,Retail Gas Price (Households),PLN/m³,quarterly,Prices & Inflation,Economy,AVG
prc.ppi,PRC,Producer Price Index Growth,%,monthly,Prices & Inflation,Economy,AVG
prc.ppi_sectoral,PRC,Producer Price Index by Industry Section,%,monthly,Prices & Inflation,Economy,AVG
prc.real_estate_price_national,PRC,Average Residential Property Price (National),PLN/m²,quarterly,Prices & Inflation,Economy,AVG
prc.real_estate_price_regional,PRC,Average Residential Property Price (Regional),PLN/m²,quarterly,Prices & Inflation,Economy,AVG
pub.bgk_guarantees,PUB,BGK Guarantee Portfolio,PLN mn,quarterly,Public Finance,Economy,AVG
pub.eu_funds_absorption,PUB,EU Funds Absorption,PLN mn,quarterly,Public Finance,Economy,SUM
pub.local_govt_debt,PUB,Local Government Debt,PLN mn,annual,Public Finance,Economy,AVG
pub.public_debt_gdp,PUB,Public Debt as % of GDP,%,quarterly,Public Finance,Economy,AVG
pub.public_debt_total,PUB,Total Public Debt (EDP),PLN mn,quarterly,Public Finance,Economy,AVG
pub.social_insurance_fund_balance,PUB,Social Insurance Fund Balance (FUS),PLN mn,quarterly,Public Finance,Economy,AVG
pub.state_budget_balance,PUB,State Budget Balance,PLN mn,monthly,Public Finance,Economy,SUM
pub.state_budget_expenditure,PUB,State Budget Expenditure,PLN mn,monthly,Public Finance,Economy,SUM
pub.state_budget_revenue,PUB,State Budget Revenue,PLN mn,monthly,Public Finance,Economy,SUM
pub.tax_revenue_cit,PUB,CIT Revenue,PLN mn,monthly,Public Finance,Economy,SUM
pub.tax_revenue_excise,PUB,Excise Duty Revenue,PLN mn,monthly,Public Finance,Economy,SUM
pub.tax_revenue_pit,PUB,PIT Revenue,PLN mn,monthly,Public Finance,Economy,SUM
pub.tax_revenue_vat,PUB,VAT Revenue,PLN mn,monthly,Public Finance,Economy,SUM
sci.broadband_coverage,SCI,Broadband Coverage ≥30 Mbps,% households,annual,Science Technology & Digital Society,Environment,AVG
sci.cybersecurity_incidents,SCI,CERT/NASK Reported Incidents,count,annual,Science Technology & Digital Society,Environment,SUM
sci.digital_public_services,SCI,Digital Public Services Usage Rate,%,annual,Science Technology & Digital Society,Environment,AVG
sci.ecommerce_participation,SCI,E-Commerce Participation (Individuals),%,annual,Science Technology & Digital Society,Environment,AVG
sci.internet_usage_rate,SCI,Internet Usage Rate (16-74),%,annual,Science Technology & Digital Society,Environment,AVG
sci.mobile_subscriptions,SCI,Mobile Subscriptions per 100 Persons,per 100,annual,Science Technology & Digital Society,Environment,AVG
sci.ncn_grants_awarded,SCI,NCN Research Grants Awarded,count,annual,Science Technology & Digital Society,Environment,SUM
sci.patent_applications,SCI,Patent Applications (UPRP + EPO),count,annual,Science Technology & Digital Society,Environment,SUM
sci.rd_expenditure_gdp,SCI,R&D Expenditure as % of GDP,%,annual,Science Technology & Digital Society,Environment,AVG
sci.rd_expenditure_total,SCI,Total R&D Expenditure (GERD),PLN mn,annual,Science Technology & Digital Society,Environment,SUM
sci.researchers_count,SCI,Researchers (FTE),count,annual,Science Technology & Digital Society,Environment,AVG
soc.child_benefit_beneficiaries,SOC,Child Benefit (800+) Beneficiaries,count,monthly,Income Living Conditions & Social Protection,Society,AVG
soc.childcare_coverage_0_3,SOC,Formal Childcare Coverage (0-3 years),%,annual,Income Living Conditions & Social Protection,Society,AVG
soc.disability_benefit_recipients,SOC,Disability Benefit Recipients (PFRON),count,monthly,Income Living Conditions & Social Protection,Society,AVG
soc.gini_coefficient,SOC,Gini Coefficient of Income Inequality,index,annual,Income Living Conditions & Social Protection,Society,AVG
soc.household_income_avg,SOC,Average Household Disposable Income per Capita,PLN,annual,Income Living Conditions & Social Protection,Society,AVG
soc.minimum_wage,SOC,National Minimum Wage,PLN,annual,Income Living Conditions & Social Protection,Society,AVG
soc.pension_average,SOC,Average Monthly Pension (ZUS),PLN,quarterly,Income Living Conditions & Social Protection,Society,AVG
soc.poverty_rate,SOC,At-Risk-of-Poverty Rate,%,annual,Income Living Conditions & Social Protection,Society,AVG
soc.severe_material_deprivation,SOC,Severe Material Deprivation Rate,%,annual,Income Living Conditions & Social Protection,Society,AVG
soc.social_assistance_recipients,SOC,Social Assistance Recipients,count,annual,Income Living Conditions & Social Protection,Society,AVG
soc.social_benefits_total,SOC,Total Social Benefits Paid,PLN mn,monthly,Income Living Conditions & Social Protection,Society,SUM
trd.exports_by_commodity,TRD,Goods Exports by Commodity Section,EUR mn,monthly,International Trade,Economy,SUM
trd.exports_by_country,TRD,Goods Exports by Destination Country,EUR mn,monthly,International Trade,Economy,SUM
trd.exports_goods_total,TRD,Total Goods Exports,EUR mn,monthly,International Trade,Economy,SUM
trd.exports_services,TRD,Services Exports,EUR mn,quarterly,International Trade,Economy,SUM
trd.fdi_inflows,TRD,FDI Inflows,EUR mn,quarterly,International Trade,Economy,SUM
trd.fdi_outflows,TRD,FDI Outflows,EUR mn,quarterly,International Trade,Economy,SUM
trd.imports_by_commodity,TRD,Goods Imports by Commodity Section,EUR mn,monthly,International Trade,Economy,SUM
trd.imports_by_country,TRD,Goods Imports by Origin Country,EUR mn,monthly,International Trade,Economy,SUM
trd.imports_goods_total,TRD,Total Goods Imports,EUR mn,monthly,International Trade,Economy,SUM
trd.imports_services,TRD,Services Imports,EUR mn,quarterly,International Trade,Economy,SUM
trd.trade_balance_goods,TRD,Goods Trade Balance,EUR mn,monthly,International Trade,Economy,SUM
trp.freight_air_volume,TRP,Air Freight Volume,tonnes,monthly,Transport,Economy,SUM
trp.freight_rail_volume,TRP,Rail Freight Volume,million t-km,monthly,Transport,Economy,SUM
trp.freight_road_volume,TRP,Road Freight Volume,million t-km,quarterly,Transport,Economy,SUM
trp.motorway_expressway_length,TRP,Motorway and Expressway Network Length,km,annual,Transport,Economy,AVG
trp.passenger_air_volume,TRP,Air Passenger Volume,thousand passengers,monthly,Transport,Economy,SUM
trp.passenger_rail_volume,TRP,Rail Passenger Volume,million pass-km,monthly,Transport,Economy,SUM
trp.port_cargo_volume,TRP,Sea Port Cargo Volume,thousand t,monthly,Transport,Economy,SUM
trp.road_accidents,TRP,Road Accidents,count,monthly,Transport,Economy,SUM
trp.road_fatalities,TRP,Road Fatalities,count,monthly,Transport,Economy,SUM
trp.vehicle_registrations,TRP,New Vehicle Registrations,count,monthly,Transport,Economy,SUM
