detail_id,source_id,geo_levels,year_from,year_to,coverage_notes,series_id,verified
pub.public_debt_gdp,eurostat,country,2004,,Eurostat government deficit and debt (GFS); EU comparable,gov_10dd_edpt1?geo=PL&na_item=GD&sector=S13&unit=PC_GDP,true
pub.public_debt_gdp,ameco,country,2004,,AMECO UDGGL / UVGDP ratio; EC forecast comparison,,false
pub.tax_revenue_vat,kas,country,2010,,KAS monthly VAT collection bulletin,,false
pub.tax_revenue_vat,mf,country,2005,,MF budget execution includes VAT line,,false
pub.tax_revenue_pit,kas,country,2010,,KAS monthly PIT collection,,false
pub.tax_revenue_pit,mf,country,2005,,MF budget execution PIT line,,false
pub.tax_revenue_cit,kas,country,2010,,KAS monthly CIT collection,,false
pub.tax_revenue_cit,mf,country,2005,,MF budget execution CIT line,,false
pub.tax_revenue_excise,kas,country,2010,,KAS monthly excise duty collection,,false
pub.tax_revenue_excise,mf,country,2005,,MF budget execution excise line,,false
pub.eu_funds_absorption,mf,country,2007,,MF EU funds absorption report by programming period,,false
pub.eu_funds_absorption,bgk,country,2007,,BGK disburses part of EU structural funds; separate reporting,,false
pub.local_govt_debt,mf,country|voivodeship,2010,,MF annual local government finance report by entity,,false
pub.local_govt_debt,bdl,country|voivodeship,2005,,BDL local government debt indicators (strateg module),,false
pub.bgk_guarantees,bgk,country,2010,,BGK quarterly guarantee portfolio report,,false
pub.social_insurance_fund_balance,zus,country,2005,,ZUS annual/quarterly FUS financial statements,,false
mac.gdp_real_growth,sdp,country,2000,,GUS quarterly flash and final estimates; SDP series ID available,,false
mac.gdp_real_growth,eurostat,country,2004,,Eurostat national accounts; chain-linked; EU comparable,tec00115?geo=PL,true
mac.gdp_real_growth,ameco,country,1995,,AMECO OVGD series; long historical run; updated twice yearly,,false
mac.gdp_real_growth,imf,country,1992,,IMF WEO historical + forecast; annual,,false
mac.gdp_nominal,sdp,country,2000,,GUS quarterly GDP at current prices,,false
mac.gdp_nominal,eurostat,country,2004,,Eurostat national accounts B1GQ,nama_10_gdp?geo=PL&na_item=B1GQ&unit=CP_MEUR,true
mac.gdp_nominal,ameco,country,1995,,AMECO UVGD; annual,,false
mac.gdp_per_capita,sdp,country,2000,,GUS national accounts per capita,,false
mac.gdp_per_capita,eurostat,country,2004,,Eurostat GDP per capita in PPS and EUR,sdg_08_10?geo=PL&unit=CLV10_EUR_HAB,false
mac.gdp_per_capita,worldbank,country,2000,,World Bank WDI NY.GDP.PCAP.CD; current USD,,false
mac.gdp_per_capita_regional,bdl,country|voivodeship,2005,,BDL regional accounts; ~2y lag; NUTS2 comparable to Eurostat,,false
mac.gdp_per_capita_regional,eurostat,country|voivodeship,2004,,Eurostat regional accounts NUTS2; EU structural funds reference,nama_10r_2gdp?geo=PL&unit=EUR_HAB,true
mac.household_consumption_growth,sdp,country,2000,,GUS quarterly P3 household consumption expenditure,,false
mac.household_consumption_growth,eurostat,country,2004,,Eurostat national accounts P3; chain-linked,tec00101?geo=PL,false
mac.household_consumption_growth,ameco,country,1995,,AMECO UCPH series,,false
mac.gross_fixed_capital_formation_growth,sdp,country,2000,,GUS quarterly GFCF (nakłady brutto na środki trwałe),,false
mac.gross_fixed_capital_formation_growth,eurostat,country,2004,,Eurostat P51G; chain-linked,tec00011?geo=PL,true
mac.gross_fixed_capital_formation_growth,ameco,country,1995,,AMECO UIGP,,false
mac.current_account_balance,nbp,country,2000,,NBP balance of payments monthly statistics,,false
mac.current_account_balance,eurostat,country,2004,,Eurostat BOP current account (BPM6); EU comparable,bop_c6_q?bop_item=CA&currency=MIO_EUR&geo=PL&sector10=S1&sectpart=S1&stk_flow=BAL,true
mac.current_account_balance,imf,country,2000,,IMF BOP statistics,,false
mac.current_account_gdp,nbp,country,2000,,Derived by NBP from CA balance and GDP,,false
mac.current_account_gdp,eurostat,country,2004,,Eurostat BOP / GDP ratio,bop_gdp6_q?bop_item=CA&geo=PL&s_adj=NSA&stk_flow=BAL,true
mac.current_account_gdp,ameco,country,1995,,AMECO UBCA,,false
mac.industrial_output_growth,sdp,country,2004,,GUS monthly industrial production (sold output); SDP API,,false
mac.industrial_output_growth,eurostat,country,2004,,Eurostat short-term business statistics NACE Rev2,sts_inpr_a?geo=PL&indic_bt=PROD&nace_r2=B-D&s_adj=CA&unit=PCH_PRE,true
mac.retail_sales_growth,sdp,country,2004,,GUS monthly retail sales (constant prices),,false
mac.retail_sales_growth,eurostat,country,2004,,Eurostat short-term statistics for retail trade,sts_trtu_a?geo=PL&indic_bt=TOVV&nace_r2=G47&s_adj=CA&unit=PCH_PRE,false
mac.business_confidence_bcs,ec_bcs,country,2000,,EC DG ECFIN BCS composite; ESI; monthly survey,,false
mac.consumer_confidence,sdp,country,2000,,GUS BWUK (flash) monthly consumer confidence survey,,false
mac.consumer_confidence,ec_bcs,country,2000,,EC BCS Consumer Confidence Indicator for Poland,,false
mac.pmi_manufacturing,pmi_pl,country,2012,,S&P Global Poland Manufacturing PMI; press release monthly,,false
prc.cpi_total,sdp,country,2000,,GUS monthly CPI flash and final estimates (rok poprzedni = 100),,false
prc.cpi_total,eurostat,country,2004,,Eurostat HICP (EU-harmonised) for Poland,prc_hicp_aind?coicop=CP00&geo=PL&unit=RCH_A_AVG,true
prc.cpi_total,ameco,country,1992,,AMECO ZCPIH historical,,false
prc.cpi_food,sdp,country,2000,,GUS CPI sub-index 01 (food and non-alcoholic beverages),,false
prc.cpi_food,eurostat,country,2004,,Eurostat HICP CP01,prc_hicp_aind?coicop=CP01&geo=PL&unit=INX_A_AVG,true
prc.cpi_energy,sdp,country,2000,,GUS CPI sub-index energy (housing + fuel combined),,false
prc.cpi_energy,eurostat,country,2004,,Eurostat HICP CP04+CP07 energy components,prc_hicp_aind?coicop=CP04&geo=PL&unit=INX_A_AVG,true
prc.cpi_core,nbp,country,2001,,NBP calculates and publishes core CPI (excl. food and energy),,false
prc.cpi_core,sdp,country,2004,,GUS derived series in statistical publications,,false
prc.ppi,sdp,country,2000,,GUS monthly PPI (ceny produkcji sprzedanej przemysłu),,false
prc.ppi,eurostat,country,2004,,Eurostat PPI domestic output prices NACE Rev2,sts_inppd_a?geo=PL&indic_bt=PRC_PRR_DOM&nace_r2=B-E36&s_adj=NSA&unit=I15,false
prc.ppi_sectoral,sdp,country,2004,,GUS PPI by NACE section A–E,,false
prc.real_estate_price_national,nbp,country,2006,,NBP quarterly real estate price survey (AMRON/SARFiN partnership),,false
prc.real_estate_price_national,bdl,country,2010,,BDL property price module (limited coverage),,false
prc.real_estate_price_regional,nbp,country|voivodeship,2006,,NBP regional property prices; 17 major cities + voivodeships,,false
prc.real_estate_price_regional,bdl,country|voivodeship,2010,,BDL regional data; city-level where available,,false
prc.electricity_retail_price,ure,country,2000,,URE tariff approval data and energy price statistics,,false
prc.electricity_retail_price,eurostat,country,2004,,Eurostat electricity prices for households (nrg_pc_204),nrg_pc_204?consom=4161902&currency=EUR&geo=PL&product=6000&tax=X_TAX&unit=KWH,false
prc.gas_retail_price,ure,country,2000,,URE tariff data for natural gas,,false
prc.gas_retail_price,eurostat,country,2004,,Eurostat gas prices for households (nrg_pc_202),nrg_pc_202?consom=4161902&currency=EUR&geo=PL&product=4100&tax=X_TAX&unit=GJ_GCV,false
prc.fuel_price_petrol,dane_gov,country,2015,,Weekly fuel prices published on dane.gov.pl (POPiHN data),,false
prc.fuel_price_diesel,dane_gov,country,2015,,Weekly diesel prices on dane.gov.pl,,false
lab.unemployment_rate,mrpips,country,2000,,MRPiPS monthly registered unemployment (stopa bezrobocia rejestrowanego),,false
lab.unemployment_rate,bdl,country,2004,,BDL labour market module; monthly,,false
lab.unemployment_rate,eurostat,country,2004,,Eurostat LFS harmonised unemployment rate (different definition: LFS),une_rt_a?geo=PL&sex=T&unit=PC_ACT,true
lab.unemployment_rate,ilostat,country,2004,,ILO modelled estimates; annual; international comparable,,false
lab.unemployment_rate_regional,mrpips,country|voivodeship|county,2000,,MRPiPS monthly by voivodeship and powiat,,false
lab.unemployment_rate_regional,bdl,country|voivodeship|county,2004,,BDL with voivodeship + powiat breakdown,,false
lab.unemployment_count,mrpips,country,2000,,MRPiPS monthly registered count,,false
lab.unemployment_count,bdl,country|voivodeship,2004,,BDL aggregates,,false
lab.employed_total,sdp,country,2004,,GUS quarterly LFS (BAEL) employed persons,,false
lab.employed_total,eurostat,country,2004,,Eurostat LFS employed (lfsa_empgan),lfsa_egan?age=Y15-74&citizen=TOTAL&geo=PL&sex=T&unit=THS_PER,true
lab.employed_total,ilostat,country,2004,,ILO ILOSTAT employment by sector,,false
lab.employment_rate,sdp,country,2004,,GUS BAEL quarterly; 15-64 age group,,false
lab.employment_rate,eurostat,country,2004,,Eurostat LFS employment rate (lfsq_ergan),lfsa_ergan?age=Y20-64&geo=PL&sex=T&unit=PC,true
lab.employment_rate,ilostat,country,2004,,ILO comparable series,,false
lab.activity_rate,sdp,country,2004,,GUS BAEL activity rate (15-64),,false
lab.activity_rate,eurostat,country,2004,,Eurostat LFS activity rate (lfsq_agan),lfsa_argan?age=Y15-74&citizen=TOTAL&geo=PL&sex=T,true
lab.activity_rate,ilostat,country,2004,,ILO ILOSTAT participation rate,,false
lab.average_wage,sdp,country,2000,,GUS monthly average gross wage in enterprise sector (10+ emp),,false
lab.average_wage,bdl,country,2004,,BDL wage series; includes sectoral and regional cuts,,false
lab.average_wage_sectoral,sdp,country,2004,,GUS wage by NACE section; monthly SDP series,,false
lab.average_wage_sectoral,bdl,country,2004,,BDL wage by section,,false
lab.wage_growth,sdp,country,2000,,GUS monthly y/y nominal wage growth,,false
lab.wage_growth,eurostat,country,2004,,Eurostat labour cost index; quarterly,lc_lci_r2_a?geo=PL&lcstruct=D1_D4_MD5&nace_r2=B-S&unit=PCH_PRE,true
lab.wage_growth,ameco,country,2000,,AMECO HWCDE nominal wage per employee,,false
lab.real_wage_growth,sdp,country,2004,,GUS derived; wage growth deflated by CPI,,false
lab.real_wage_growth,ameco,country,2000,,AMECO real compensation per employee,,false
lab.job_vacancies,cbop,country,2015,,CBOP central job vacancies; daily-updated database,,false
lab.job_vacancies,eurostat,country,2004,,Eurostat job vacancy statistics (jvs_q_nace2),jvs_a_nace2?geo=PL&indic_em=JOBVAC&isco08=TOTAL&nace_r2=B-S&sizeclas=TOTAL,true
lab.vacancy_rate,sdp,country,2010,,GUS quarterly job vacancy survey,,false
lab.vacancy_rate,eurostat,country,2004,,Eurostat vacancy rate by NACE (jvs_q_nace2),jvs_a_nace2?geo=PL&indic_em=JVR&isco08=TOTAL&nace_r2=B-S&sizeclas=TOTAL,true
lab.youth_unemployment_rate,sdp,country,2004,,GUS BAEL 15-24 quarterly,,false
lab.youth_unemployment_rate,eurostat,country,2004,,Eurostat youth unemployment (yth_empl_090),yth_empl_090?age=Y15-24&geo=PL&isced11=TOTAL&sex=T,true
lab.youth_unemployment_rate,ilostat,country,2004,,ILO modelled,,false
lab.long_term_unemployment_share,sdp,country,2004,,GUS BAEL long-term unemployment (12+ months),,false
lab.long_term_unemployment_share,eurostat,country,2004,,Eurostat LFS long-term unemployment (lfsq_ugad),lfsa_urgaed?age=Y15-74&citizen=TOTAL&geo=PL&sex=T,false
lab.long_term_unemployment_share,ilostat,country,2004,,ILO modelled share,,false
lab.minimum_wage,mrpips,country,2000,,MRPiPS publishes annual statutory minimum wage regulations,,false
lab.minimum_wage,eurostat,country,2004,,Eurostat statutory minimum wages series (earn_mw_cur),earn_mw_cur?currency=EUR&geo=PL,true
bus.company_registrations,regon,country,2000,,REGON API monthly new entity entries; all legal forms,,false
bus.company_registrations,dane_gov,country,2015,,dane.gov.pl publishes REGON aggregate statistics,,false
bus.company_deregistrations,regon,country,2000,,REGON API monthly deregistrations,,false
bus.company_deregistrations,dane_gov,country,2015,,dane.gov.pl aggregate,,false
bus.active_companies,regon,country,2000,,REGON total active entities; monthly snapshot,,false
bus.company_registrations_sectoral,regon,country,2005,,REGON PKD/NACE sectoral breakdown available via API,,false
bus.company_registrations_sectoral,bdl,country,2005,,BDL enterprise statistics by NACE section,,false
bus.construction_permits,gunb,country|voivodeship,2008,,GUNB monthly building permit statistics CSV,,false
bus.construction_permits,bdl,country|voivodeship,2005,,BDL construction module,,false
bus.construction_permits_area,gunb,country|voivodeship,2008,,GUNB monthly floor area by permit type,,false
bus.construction_permits_area,bdl,country|voivodeship,2005,,BDL building permits area,,false
bus.construction_completions,gunb,country|voivodeship,2008,,GUNB monthly completed dwellings,,false
bus.construction_completions,sdp,country,2004,,GUS construction statistics monthly,,false
bus.industrial_output_sectoral,sdp,country,2004,,GUS sold production volume index by NACE section,,false
bus.industrial_output_sectoral,eurostat,country,2004,,Eurostat STS industrial production NACE Rev2,sts_inpr_a?geo=PL&indic_bt=PROD&nace_r2=B-D&s_adj=CA&unit=PCH_PRE,true
bus.construction_output_value,sdp,country,2004,,GUS construction and assembly production value,,false
bus.pmi_manufacturing,pmi_pl,country,2012,,S&P Global Poland Manufacturing PMI; press release,,false
bus.enterprise_confidence,sdp,country,2004,,GUS monthly business climate indicator (koniunktury),,false
bus.enterprise_confidence,ec_bcs,country,2000,,EC BCS industry confidence indicator for Poland,,false
bus.company_financials,dane_gov,country,2016,,KRS annual financial statements available via e-KRS / dane.gov.pl,,false
trd.exports_goods_total,sdp,country,2004,,GUS monthly goods trade statistics,,false
trd.exports_goods_total,eurostat,country,2004,,Eurostat Comext trade database,ext_lt_intratrd?geo=PL&indic_et=MIO_EXP_VAL&partner=WORLD&sitc06=TOTAL,true
trd.exports_goods_total,un_comtrade,country,2000,,UN Comtrade HS-based; monthly; free tier available,,false
trd.imports_goods_total,sdp,country,2004,,GUS monthly goods trade statistics,,false
trd.imports_goods_total,eurostat,country,2004,,Eurostat Comext,ext_lt_intratrd?geo=PL&indic_et=MIO_IMP_VAL&partner=WORLD&sitc06=TOTAL,true
trd.imports_goods_total,un_comtrade,country,2000,,UN Comtrade HS-based monthly,,false
trd.trade_balance_goods,sdp,country,2004,,Derived by GUS from exports − imports,,false
trd.trade_balance_goods,eurostat,country,2004,,Eurostat Comext trade balance,ext_lt_intratrd?geo=PL&indic_et=MIO_BAL_VAL&partner=WORLD&sitc06=TOTAL,true
trd.trade_balance_goods,nbp,country,2000,,NBP BoP goods balance (different from customs statistics),,false
trd.exports_services,nbp,country,2000,,NBP BoP services credit; quarterly,,false
trd.exports_services,eurostat,country,2004,,Eurostat BoP services credit (bop_its6_det),bop_its6_det?bop_item=SC&currency=MIO_EUR&geo=PL&partner=EXT_EU27_2020&stk_flow=CR,false
trd.imports_services,nbp,country,2000,,NBP BoP services debit; quarterly,,false
trd.imports_services,eurostat,country,2004,,Eurostat BoP services debit,bop_its6_det?bop_item=SC&currency=MIO_EUR&geo=PL&partner=EXT_EU27_2020&stk_flow=DB,false
trd.exports_by_commodity,un_comtrade,country,2000,,UN Comtrade HS6/SITC by commodity; monthly,,false
trd.exports_by_commodity,puesc,country,2010,,PUESC Polish customs declarations; commodity detail,,false
trd.imports_by_commodity,un_comtrade,country,2000,,UN Comtrade HS6/SITC commodity breakdown,,false
trd.imports_by_commodity,puesc,country,2010,,PUESC customs declarations,,false
trd.exports_by_country,un_comtrade,country,2000,,UN Comtrade by reporter+partner country; monthly,,false
trd.exports_by_country,eurostat,country,2004,,Eurostat Comext by partner country,ext_lt_intratrd?geo=PL&indic_et=MIO_EXP_VAL&partner=EXT_EU27_2020&sitc06=TOTAL,true
trd.imports_by_country,un_comtrade,country,2000,,UN Comtrade imports by origin country,,false
trd.imports_by_country,eurostat,country,2004,,Eurostat Comext by partner,ext_lt_intratrd?geo=PL&indic_et=MIO_IMP_VAL&partner=EXT_EU27_2020&sitc06=TOTAL,true
trd.fdi_inflows,nbp,country,2000,,NBP BoP FDI credit (direct investment in Poland); quarterly,,false
trd.fdi_inflows,eurostat,country,2004,,Eurostat BoP FDI flows (bop_fdi6_flow),bop_fdi6_flow?bop_item=FDI&currency=MIO_EUR&geo=PL&partner=EXT_EU27_2020&stk_flow=LB,false
trd.fdi_inflows,oecd,country,2004,,OECD FDI statistics; annual,,false
trd.fdi_outflows,nbp,country,2000,,NBP BoP FDI debit (Polish investment abroad); quarterly,,false
trd.fdi_outflows,eurostat,country,2004,,Eurostat BoP FDI outflows,bop_fdi6_flow?bop_item=FDI&currency=MIO_EUR&geo=PL&partner=EXT_EU27_2020&stk_flow=LA,false
trd.fdi_outflows,oecd,country,2004,,OECD FDI statistics; annual,,false
agr.crop_production_cereals,bdl,country|voivodeship,2004,,BDL agricultural production module; GUS survey data,,false
agr.crop_production_cereals,eurostat,country,2004,,Eurostat crop production (apro_cpsh1),apro_cpsh1?crops=C1100&geo=PL,true
agr.crop_production_cereals,faostat,country,2000,,FAOSTAT Crops domain; longer historical series,,false
agr.crop_production_rapeseed,bdl,country|voivodeship,2004,,BDL rapeseed/colza production,,false
agr.crop_production_rapeseed,eurostat,country,2004,,Eurostat (apro_cpsh1 oilseeds),apro_cpsh1?crops=C1450&geo=PL,false
agr.crop_production_rapeseed,faostat,country,2000,,FAOSTAT oilseeds,,false
agr.crop_area_arable,bdl,country|voivodeship,2004,,BDL land use module; annual,,false
agr.crop_area_arable,eurostat,country,2004,,Eurostat UAA and arable land (ef_m_farmleg),ef_m_farmleg?geo=PL,true
agr.crop_area_arable,faostat,country,2000,,FAOSTAT Land Use domain,,false
agr.livestock_cattle,bdl,country|voivodeship,2004,,BDL livestock headcount; June and December surveys,,false
agr.livestock_cattle,eurostat,country,2004,,Eurostat livestock population (apro_ms_pigs),apro_ms_ls?animals=A1000&geo=PL,false
agr.livestock_cattle,faostat,country,2000,,FAOSTAT Livestock Primary domain,,false
agr.livestock_pigs,bdl,country|voivodeship,2004,,BDL pig headcount; biannual surveys,,false
agr.livestock_pigs,eurostat,country,2004,,Eurostat pig population (apro_ms_pigs),apro_ms_ls?animals=A2000&geo=PL,false
agr.livestock_pigs,faostat,country,2000,,FAOSTAT,,false
agr.milk_production,bdl,country|voivodeship,2004,,BDL dairy production; monthly,,false
agr.milk_production,kowr,country,2010,,KOWR milk collection monitoring,,false
agr.wheat_purchase_price,kowr,country,2005,,KOWR agricultural market price monitoring; weekly,,false
agr.wheat_purchase_price,bdl,country,2004,,BDL agricultural prices module,,false
agr.pig_purchase_price,kowr,country,2005,,KOWR pork market price bulletin,,false
agr.pig_purchase_price,bdl,country,2004,,BDL producer prices,,false
agr.milk_purchase_price,kowr,country,2005,,KOWR dairy market monitoring,,false
agr.milk_purchase_price,bdl,country,2004,,BDL dairy producer prices,,false
agr.timber_harvest,lasy_panstwowe,country,2000,,LP annual reports; State Forests data only (covers ~80% of forest area),,false
agr.timber_harvest,bdl,country|voivodeship,2004,,BDL forestry module includes private forests,,false
agr.agricultural_area_used,bdl,country|voivodeship,2004,,BDL land use; census years + annual estimates,,false
agr.agricultural_area_used,eurostat,country,2004,,Eurostat FSS / UAA (ef_m_farmleg),ef_m_farmleg?geo=PL,true
agr.soil_erosion_risk,iung,country|voivodeship,2010,,IUNG-PIB soil erosion risk maps; irregular updates,,false
agr.soil_erosion_risk,bdl,country|voivodeship,2010,,BDL environmental-agricultural module,,false
trp.freight_rail_volume,utk,country,2006,,UTK open data portal; tonne-km by operator; monthly and annual,,false
trp.freight_rail_volume,eurostat,country,2004,,Eurostat rail freight transport (rail_go_quartal),rail_go_quartal?geo=PL&unit=MIO_TKM,true
trp.passenger_rail_volume,utk,country,2006,,UTK passenger-km by operator; monthly,,false
trp.passenger_rail_volume,eurostat,country,2004,,Eurostat rail passenger transport (rail_pa_quartal),rail_pa_quartal?geo=PL&unit=MIO_PKM,true
trp.freight_road_volume,transtat,country,2010,,GUS TranStat road freight statistics (experimental),,false
trp.freight_road_volume,eurostat,country,2004,,Eurostat road freight transport (road_go_ta_tott),road_go_ta_tott?geo=PL&unit=MIO_TKM,true
trp.passenger_air_volume,ulc,country,2010,,ULC annual civil aviation statistics; airport breakdown available,,false
trp.passenger_air_volume,eurostat,country,2004,,Eurostat air passenger transport (avia_paoa),avia_paoa?geo=PL&unit=THS_PAS,false
trp.freight_air_volume,ulc,country,2010,,ULC cargo + mail statistics,,false
trp.freight_air_volume,eurostat,country,2004,,Eurostat air transport cargo (avia_gooa),avia_gooa?geo=PL&unit=THS_T,false
trp.vehicle_registrations,dane_gov,country,2012,,CEPiK vehicle registration data via dane.gov.pl,,false
trp.vehicle_registrations,sdp,country,2004,,GUS transport statistics,,false
trp.road_accidents,policja,country|voivodeship,2000,,Policja annual road accident statistics; monthly aggregates available,,false
trp.road_accidents,eurostat,country,2004,,Eurostat road accident fatalities (tran_sf_roadse),tran_sf_roadse?geo=PL&unit=NR&victim=TOT_INJ,false
trp.road_fatalities,policja,country|voivodeship,2000,,Policja; 30-day definition,,false
trp.road_fatalities,eurostat,country,2004,,Eurostat road safety statistics; EU harmonised 30-day rule,tran_sf_roadse?geo=PL&unit=NR&victim=DEATH,false
trp.motorway_expressway_length,gddkia,country,2005,,GDDKiA national road database; annual,,false
trp.motorway_expressway_length,bdl,country|voivodeship,2004,,BDL transport infrastructure module,,false
trp.port_cargo_volume,sdp,country,2004,,GUS sea transport statistics; monthly,,false
trp.port_cargo_volume,eurostat,country,2004,,Eurostat maritime transport (mar_mg_am_pwhc),mar_mg_am_pwhc?geo=PL&tra_type=TOTAL&unit=THS_T,false
ene.electricity_production_total,pse,country,2015,,PSE API; daily and monthly totals by source,,false
ene.electricity_production_total,are,country,2005,,ARE monthly and annual energy statistics,,false
ene.electricity_production_total,entso_e,country,2015,,ENTSO-E Transparency Platform Actual Generation,,false
ene.electricity_consumption_total,pse,country,2015,,PSE actual load / consumption data,,false
ene.electricity_consumption_total,are,country,2005,,ARE final consumption statistics,,false
ene.electricity_consumption_total,entso_e,country,2015,,ENTSO-E actual load,,false
ene.electricity_mix_coal,pse,country,2015,,PSE generation by source (hard coal unit output),,false
ene.electricity_mix_coal,are,country,2005,,ARE monthly statistics by fuel,,false
ene.electricity_mix_coal,entso_e,country,2015,,ENTSO-E aggregated generation by type,,false
ene.electricity_mix_lignite,pse,country,2015,,PSE lignite (brown coal) generation,,false
ene.electricity_mix_lignite,are,country,2005,,ARE monthly fuel mix,,false
ene.electricity_mix_lignite,entso_e,country,2015,,ENTSO-E generation B02 (lignite),,false
ene.electricity_mix_renewables,pse,country,2015,,PSE combined RES generation,,false
ene.electricity_mix_renewables,are,country,2005,,ARE renewable electricity statistics,,false
ene.electricity_mix_renewables,ure,country,2010,,URE RES registry (MIOZE); capacity and generation certificates,,false
ene.electricity_mix_renewables,entso_e,country,2015,,ENTSO-E all RES generation types,,false
ene.electricity_mix_wind,pse,country,2015,,PSE wind generation daily,,false
ene.electricity_mix_wind,are,country,2010,,ARE wind statistics,,false
ene.electricity_mix_wind,entso_e,country,2015,,ENTSO-E generation B06 (wind onshore) + B19 (offshore),,false
ene.electricity_mix_solar,pse,country,2018,,PSE solar PV generation (significant only from ~2020),,false
ene.electricity_mix_solar,are,country,2018,,ARE solar statistics,,false
ene.electricity_mix_solar,entso_e,country,2015,,ENTSO-E generation B16 (solar),,false
ene.electricity_price_day_ahead,tge,country,2010,,TGE day-ahead BASE closing price; daily XLSX,,false
ene.electricity_price_day_ahead,entso_e,country,2015,,ENTSO-E day-ahead prices (Publication_DayAheadPrices),,false
ene.natural_gas_consumption,gaz_system,country,2016,,Gaz-System via ENTSOG TP; daily and monthly totals,,false
ene.natural_gas_consumption,are,country,2005,,ARE annual energy balance; gas consumption by sector,,false
ene.natural_gas_storage_level,gaz_system,country,2016,,Gaz-System transparency data; storage working gas daily,,false
ene.renewable_capacity_installed,ure,country,2010,,URE MIOZE registry of RES installations; monthly,,false
ene.renewable_capacity_installed,are,country,2010,,ARE installed capacity statistics,,false
ene.wind_capacity_installed,ure,country,2010,,URE MIOZE wind register,,false
ene.wind_capacity_installed,are,country,2010,,ARE wind capacity data,,false
ene.solar_capacity_installed,ure,country,2018,,URE MIOZE solar PV registry; rapid growth series from 2020,,false
ene.solar_capacity_installed,are,country,2018,,ARE solar statistics,,false
ene.energy_intensity,iea,country,2000,,IEA TPES/GDP ratio; annual,,false
