source_id,name,provider,category,tier,url,api_url,auth_type,auth_env_var,format,update_frequency,notes
puesc,Platforma Usług Elektronicznych Służby Celno-Skarbowej,KAS,ministry,2,https://puesc.gov.pl,,none,,xlsx,monthly,"Polish customs clearance platform. Aggregate trade and customs duty statistics. File downloads. No public open data API."
mrirw,Ministerstwo Rolnictwa i Rozwoju Wsi,MRiRW,ministry,2,https://www.gov.pl/web/rolnictwo,,none,,xlsx,irregular,"Agricultural policy data: crop area declarations, market interventions, subsidy schemes. File downloads. No public API."
lasy_panstwowe,Lasy Państwowe,LP,ministry,2,https://www.lasy.gov.pl,,none,,xlsx,annual,"State Forests annual statistics: timber harvest, forest area, biodiversity, employment. Annual Excel reports. No public API."
iung,Instytut Uprawy Nawożenia i Gleboznawstwa,IUNG,research,2,https://www.iung.pl,,none,,xlsx,irregular,"Agrometeorology and soil science data: drought monitoring (KSM), soil maps, agroclimatic conditions. File downloads and published bulletins."
ulc,Urząd Lotnictwa Cywilnego,ULC,regulator,2,https://ulc.gov.pl,,none,,xlsx,annual,"Civil aviation statistics: passenger numbers, aircraft movements, airport traffic, airline licences. Annual Excel reports. No public API."
pkp_plk,PKP Polskie Linie Kolejowe,PKP PLK,ministry,2,https://www.plk-sa.pl,,none,,xlsx,annual,"Railway infrastructure statistics: track length, traffic volumes, punctuality, investment. Annual Excel reports. No public API."
are,Agencja Rynku Energii,ARE,regulator,2,https://www.are.waw.pl,,none,,xlsx,monthly,"Detailed energy sector statistics: electricity and heat generation by fuel, fuel consumption, capacity. Monthly and annual Excel publications."
entso_e,ENTSO-E Transparency Platform,ENTSO-E,international_body,1,https://transparency.entsoe.eu,https://web-api.tp.entsoe.eu,api_key,ENTSOE_API_KEY,xml,daily,"European electricity grid data: generation by source, cross-border flows, load, prices. RESTful API returning XML. Free API key required after registration. Covers all EU member states."
iea,International Energy Agency,IEA,international_body,1,https://www.iea.org/data-and-statistics,https://api.iea.org,api_key,IEA_API_KEY,json,annual,"Global energy statistics: supply, demand, prices, CO2 emissions by country and fuel. JSON REST API. Free key required. Annual and monthly datasets."
imgw,Instytut Meteorologii i Gospodarki Wodnej,IMGW,regulator,1,https://danepubliczne.imgw.pl,https://danepubliczne.imgw.pl/api/data,none,,json,daily,"Meteorological and hydrological real-time and historical data from national monitoring network. JSON REST API. No auth for public data. Covers weather stations and river gauges."
eea,European Environment Agency,EEA,international_body,1,https://www.eea.europa.eu,https://discomap.eea.europa.eu/map/fme/api,none,,json,annual,"European environmental indicators: air quality, emissions, land use, biodiversity, water. REST API and bulk downloads. No auth required for most datasets."
copernicus,Copernicus Land Monitoring Service,EC / ESA,international_body,1,https://land.copernicus.eu,https://land.copernicus.eu/api,none,,json,annual,"EU Earth observation: land cover, urban footprint, vegetation, soil moisture, snow cover. REST API and bulk downloads. No auth for most datasets."
wody_polskie,Państwowe Gospodarstwo Wodne Wody Polskie,Wody Polskie,regulator,2,https://www.wody.gov.pl,,none,,xlsx,annual,"Water management statistics: river flows, flood risk, water permits, water use by sector. Annual Excel reports. No public API."
who,World Health Organization,WHO,international_body,1,https://www.who.int/data/gho,https://ghoapi.azureedge.net/api,none,,json,annual,"Global Health Observatory: mortality, disease burden, health system indicators by country. OData REST API. No auth required."
ecdc,European Centre for Disease Prevention and Control,ECDC,international_body,1,https://www.ecdc.europa.eu,https://opendata.ecdc.europa.eu,none,,json,weekly,"Communicable disease surveillance across EU: weekly case counts by disease and country. Open data downloads and API. No auth required."
nizp_pzh,Narodowy Instytut Zdrowia Publicznego — PZH,NIZP-PZH,research,2,https://www.pzh.gov.pl,,none,,xlsx,annual,"Public health epidemiological data: infectious diseases, cancer registry, vaccination coverage, poisonings. Annual Excel reports and bulletins."
sio,System Informacji Oświatowej,MEiN,ministry,2,https://cie.men.gov.pl,,none,,xlsx,annual,"School Information System: pupil numbers, teachers, schools by type and region. Annual Excel data files from Ministry of Education. No public API."
polon,System POL-on,MEiN,ministry,2,https://polon.nauka.gov.pl,,none,,xlsx,annual,"Higher education information system: student numbers, graduates, academic staff, institutions. Annual Excel exports. No public API."
pfron,Państwowy Fundusz Rehabilitacji Osób Niepełnosprawnych,PFRON,regulator,2,https://www.pfron.org.pl,,none,,xlsx,annual,"Disability fund statistics: registered disabled persons, employment support, subsidies paid to employers. Annual Excel reports."
sw,Służba Więzienna,SW,ministry,2,https://www.sw.gov.pl,,none,,xlsx,annual,"Prison Service statistics: prison population by type, gender, offence category, recidivism. Annual Excel reports. No public API."
prokuratura,Prokuratura Krajowa — Statystyki,PK,ministry,2,https://pk.gov.pl,,none,,xlsx,annual,"Prosecution statistics: cases initiated, indictments, discontinuations by offence type. Annual Excel publications."
mkidn,Ministerstwo Kultury i Dziedzictwa Narodowego,MKiDN,ministry,2,https://www.gov.pl/web/kultura,,none,,xlsx,annual,"Culture statistics: attendance at theatres, cinemas, museums, libraries. EU cultural participation data. Annual Excel files."
msit,Ministerstwo Sportu i Turystyki,MSiT,ministry,2,https://www.gov.pl/web/sport,,none,,xlsx,annual,"Sport infrastructure and participation statistics: sports clubs, licensed athletes, sport facilities by region. Annual Excel reports."
bn,Biblioteka Narodowa,BN,research,2,https://www.bn.org.pl,,none,,xlsx,annual,"Reading and library statistics: book loans, library visits, publishing output, readership surveys. Annual Excel reports."
opi_pib,Ośrodek Przetwarzania Informacji — PIB,OPI PIB,research,2,https://www.opi.org.pl,,none,,xlsx,annual,"R&D and innovation statistics: research expenditure, personnel, publications, patents by institution and field. Annual Excel data."
ncn,Narodowe Centrum Nauki,NCN,ministry,2,https://www.ncn.gov.pl,,none,,xlsx,annual,"National Science Centre: granted research projects, funding amounts, disciplines. Annual Excel reports. No public API."
nask,NASK — Państwowy Instytut Badawczy,NASK,research,3,https://www.nask.pl,,none,,html,annual,"Internet infrastructure and cybersecurity reports: domain registrations, broadband coverage, threat landscape. Annual reports in PDF/HTML. No structured data API."
ameco,AMECO — Annual Macro-Economic Database,EC DG ECFIN,international_body,2,https://economy-finance.ec.europa.eu/economic-research-and-databases/economic-databases/ameco-database_en,,none,,xlsx,biannual,"EC annual macro-economic database: long time series for GDP, investment, savings, employment, wages, prices across EU member states. Bulk Excel downloads. Updated with spring and autumn forecasts."
gaz_system,Gaz-System — Dane Transparentności,Gaz-System,regulator,1,https://www.gaz-system.pl,https://transparency.entsog.eu/api/v1,none,,json,daily,"Polish gas transmission system operator. Gas flow data (entry/exit points, storage, cross-border) published via ENTSOG Transparency Platform REST API. No auth required."
csioz,Centrum e-Zdrowia,CeZ,ministry,2,https://www.cez.gov.pl,,none,,xlsx,annual,"Health information system centre: cancer registry, hospital register, medical staff register, e-prescription statistics. Annual Excel publications. No public API."
